# COPERNICUS
#	EPS PER
#
#	Wavelegnth (A)	Mean Counts	  Mean Background	#Scans	Sigma
#	--------------  -----------   ---------------   ------  -----
      1013.19       2042.31       4709.73        1       0.00000
      1013.29       1099.95       4672.65        1       0.00000
      1013.39       1397.49       4627.16        1       0.00000
      1013.49       2727.24       4574.61        1       0.00000
      1013.59       4040.00       4516.61        1       0.00000
      1013.69       5342.67       4455.20        1       0.00000
      1013.79       5670.48       4401.16        1       0.00000
      1013.89       5571.28       4350.41        1       0.00000
      1013.99       4275.07       4319.70        1       0.00000
      1014.09       2633.31       4294.82        1       0.00000
      1014.19       1878.08       4260.11        1       0.00000
      1014.29       1271.72       4223.73        1       0.00000
      1014.39       2926.06       4196.13        1       0.00000
      1014.49       4752.62       4169.39        1       0.00000
      1014.59       5079.64       4171.42        1       0.00000
      1014.69       5271.75       4173.80        1       0.00000
      1014.79       4019.48       4179.90        1       0.00000
      1014.89       3040.21       4183.56        1       0.00000
      1014.99       3434.44       4174.97        1       0.00000
      1015.09       3698.85       4157.04        1       0.00000
      1015.19       3542.92       4108.81        1       0.00000
      1015.29       3347.68       4065.52        1       0.00000
      1015.39       3067.77       4033.04        1       0.00000
      1015.49       2974.63       4009.99        1       0.00000
      1015.59       3166.53       4001.36        1       0.00000
      1015.69       3618.84       3979.94        1       0.00000
      1015.79       4358.75       3944.39        1       0.00000
      1015.89       4922.38       3929.72        1       0.00000
      1015.99       5345.61       3931.76        1       0.00000
      1016.09       5287.47       3943.15        1       0.00000
      1016.19       4954.16       3959.90        1       0.00000
      1016.29       4659.20       3971.90        1       0.00000
      1016.39       4379.73       3982.00        1       0.00000
      1016.49       5153.39       4031.66        1       0.00000
      1016.59       6213.46       4092.05        1       0.00000
      1016.69       5951.99       4097.96        1       0.00000
      1016.79       5485.21       4095.41        1       0.00000
      1016.89       5058.98       4148.40        1       0.00000
      1016.99       4631.95       4203.91        1       0.00000
      1017.09       4116.82       4256.70        1       0.00000
      1017.19       3661.00       4308.68        1       0.00000
      1017.29       3707.49       4353.88        1       0.00000
      1017.39       3935.44       4397.20        1       0.00000
      1017.49       4960.40       4432.44        1       0.00000
      1017.59       5809.24       4467.41        1       0.00000
      1017.69       6197.61       4501.75        1       0.00000
      1017.79       6666.59       4541.09        1       0.00000
      1017.89       7287.16       4589.82        1       0.00000
      1017.99       7636.94       4633.37        1       0.00000
      1018.09       7649.87       4670.42        1       0.00000
      1018.19       7706.48       4703.20        1       0.00000
      1018.29       7802.57       4732.15        1       0.00000
      1018.39       8699.15       4773.08        1       0.00000
      1018.49       10117.9       4821.85        1       0.00000
      1018.59       11125.9       4891.48        1       0.00000
      1018.69       11946.4       4970.66        1       0.00000
      1018.79       12133.9       5061.16        1       0.00000
      1018.89       12127.4       5155.06        1       0.00000
      1018.99       11680.6       5255.89        1       0.00000
      1019.09       11153.7       5357.91        1       0.00000
      1019.19       9917.24       5463.72        1       0.00000
      1019.29       8625.02       5569.94        1       0.00000
      1019.39       7686.09       5684.15        1       0.00000
      1019.49       6815.55       5799.38        1       0.00000
      1019.59       6677.68       5924.75        1       0.00000
      1019.69       6591.88       6052.08        1       0.00000
      1019.79       6768.81       6189.44        1       0.00000
      1019.89       7192.62       6323.28        1       0.00000
      1019.99       8335.72       6447.20        1       0.00000
      1020.09       9342.53       6573.77        1       0.00000
      1020.19       10081.1       6705.74        1       0.00000
      1020.29       10366.3       6843.08        1       0.00000
      1020.39       10013.3       6987.78        1       0.00000
      1020.49       8939.06       7121.71        1       0.00000
      1020.59       7133.46       7244.54        1       0.00000
      1020.69       6436.54       7350.42        1       0.00000
      1020.79       6556.81       7443.87        1       0.00000
      1020.89       5980.75       7530.84        1       0.00000
      1020.99       5055.05       7614.63        1       0.00000
      1021.09       4533.73       7692.32        1       0.00000
      1021.19       4149.87       7767.95        1       0.00000
      1021.29       4578.29       7781.15        1       0.00000
      1021.39       5178.09       7781.15        1       0.00000
      1021.49       6091.31       7888.42        1       0.00000
      1021.59       7036.64       8006.81        1       0.00000
      1021.69       8362.60       8103.85        1       0.00000
